tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
canteiros,av. luigi amorese,varios,"16.198,41","-23,2954373","-51,2013825",2,
canteiros,av. tiradentes,varios,"8.665,10","-23,3021679","-51,173631",2,
praça,rua gustavo barroso c/ av. tiradentes,shangri - la a,"6.371,05","-23,3013172","-51,1774531",2,
canteiros + ap,av. pandia calogeras,shangri - la a,"3.317,03","-23,3006073","-51,1777229",2,
area publica,porto alegre em frente ao nº 120,vila agari,"170,01","-30,0368176","-51,2089887",2,
canteiros,av. rio branco,shangri - la a,"10.156,51","-23,3018324","-51,1734216",2,
canteiros,av. jose de alencar,shangri - la a,"2.219,28","-23,3007539","-51,1803214",2,
area publica,av. jose de alencar c/ rua eça de queiroz / leste oeste (2 areas),shangri - la a,"4.449,55","-23,3009258","-51,1808633",2,
praça,trav. farroupilha / rua castro alves,shangri - la a,"6.358,13","-23,2990914","-51,1860962",2,
canteiros,av. universo,shangri - la a,"846,57","-23,2987491","-51,1901358",2,
area publica,leste oeste c/ luiz delfino,shangri - la a,"2.246,88","-23,2977069","-51,1897832",2,
praça,rua guilherme da mota correa (4 areas),shangri - la a,"18.031,12","-23,2993791","-51,1754814",2,
canteiros,av. itajai,vila nova,"993,85","-23,3015778","-51,1675786",2,
area publica,rua tocantins com av. itajai,vila nova,"287,57","-23,3007639","-51,1673605",2,
area publica,rua rio da prata / av. itajaí / rua men de sá,vila nova,"1.807,67","-23,2974927","-51,1680178",2,
praça,grajau c/ purus,vila nova,"1.925,80","-23,2985849","-51,1648095",2,
area publica,via lactea c/ leste oeste,do sol,"3.462,49","-23,2986978","-51,1738889",2,
area publica,lua c/ leste oeste,do sol,"1.752,19","-23,2953013","-51,2036457",2,
area publica,av. do sol c/ rua argus / leste oeste (2 areas),do sol,"3.279,81","-23,2968809","-51,1816121",2,
praça,venus c/ plutao,do sol,"382,19","-23,2964422","-51,1828535",2,
canteiro,rua orion c/ venus,do sol,"79,27","-23,2964544","-51,1897513",2,
praça,netuno com capella e com plutao (02 areas),do sol,"612,24","-23,3197305","-51,1662008",2,
area publica,saturno c/ leste oeste,do sol,"9.806,19","-23,2953013","-51,2036457",2,
canteiros,av. do sol,do sol,"4.209,02","-23,2969621","-51,1817828",2,
praça,mercurio c/ marte / capricornio,do sol,"1.825,27","-23,2740063","-51,1861348",2,
area publica,via lactea c/ marte / leo,do sol,"915,21","-23,2986995","-51,173886",2,
vielas,jardim do sol e shangri-lá b (17 áreas),vários,"4.420,00","-23,2965792","-51,1817961",2,
canteiros,av. odilon borges de carvalho,shangri - la b,"4.629,52","-23,297877","-51,1735901",2,
area publica,rua darcirio egger / rua dionisio kloster sampaio,shangri - la b,"3.723,75","-23,2965442","-51,1736198",2,
area publica,aluminio c/ antimonio,são francisco de assis,"4.410,19","-23,2929852","-51,2250904",2,
area publica,dos inconfidentes c/ dep. ardinal ribas,são francisco de assis,"2.366,87","-23,292105","-51,224217",2,
lote,"rua sergio cardoso quadra 18a lotes 08, 09 e 10",são francisco de assis,"1.303,16","-23,3197305","-51,1662008",2,
fundo de vale,rua augusto jondral - 03 metros,cilo ii,"622,92","-23,2949248","-51,2183097",2,
canteiros,av. arthur thomas,bandeirantes,"11.881,70","-23,2990792","-51,1916276",2,
praça,av. arthur thomas c/ sorocaba,bandeirantes,"2.725,66","-23,298911","-51,192176",2,
canteiros,av. flamengo,bandeirantes,"3.498,50","-23,2955016","-51,1437381",2,
praça,serra do flamengo c/ maracaju,bandeirantes,"1.306,47","-23,3081926","-51,2043836",2,
praça,serra do flamengo c/ av. arthur thomas,bandeirantes,"2.883,02","-23,3078562","-51,2014967",2,
canteiros,av. serra da esperança,bandeirantes,"7.968,07","-23,3032379","-51,1998995",2,
praça,serra do mel,bandeirantes,"1.570,00","-23,304858","-51,201444",2,
canteiros,av. agulhas negras,bandeirantes,"1.063,98","-23,2998263","-51,1933069",2,
area publica,rua serra corumba / av. agulhas negras / rua serra do urucum,bandeirantes,"6.387,17","-23,2996493","-51,1939626",2,
praça,serra dos pirineus c/ serra do bendego,bandeirantes,"3.680,87","-23,2975091","-51,2014577",2,
praça,serra dos pirineus c/ serra do monte carlo,bandeirantes,"3.428,35","-23,2974051","-51,2014976",2,
area publica,serra dos pirineus c/ serra da japuira,bandeirantes,"10.760,41","-23,2975705","-51,2015001",2,
lote,rua serra formosa c/ rua serra verde,bandeirantes,"509,22","-23,3059214","-51,2105254",2,
fundo de vale,rua serra formosa,bandeirantes,670,"-23,3067966","-51,2097602",2,
areas publicas (04 recuos),rua serra do xapecó entre as ruas serra do tumucumac e serra do maracaju,bandeirantes,200,"-23,3084048","-51,2068217",2,
canteiros,serra dos mangabeiros ( 04 áreas ),bandeirantes,"831,83","-23,307244","-51,20573",2,
canteiros,av. eugenio brugin,bandeirantes,"468,7","-23,2982941","-51,2030566",2,
area publica,rua serra do roncador oposto ao nº 147,bandeirantes,547,"-23,3023096","-51,2022076",2,
area publica,serra da tormenta c/ nilo betoni,delta,"437,11","-23,3109319","-51,2066818",2,
area publica,serra da tormenta c/ carmen m. pazini,delta,"2.740,52","-23,3113763","-51,205734",2,
fundo de vale,serra da tormenta,delta,"932,74","-23,3109319","-51,2066818",2,
fundo de vale,julio de castilho,novo sabara,"27.451,99","-23,3078682","-51,2115956",2,
area publica,julio de castilho c/ waldomiro ferreira da silva,novo sabara,"2.201,76","-23,3077822","-51,2115464",2,
area publica,cristovao cardoso de barros c/ estacio de sá,sabara i,"579,26","-23,3094758","-51,2133863",2,
viela,rua estacio de sá ao lado do nº 100,sabara i,269,"-23,3129055","-51,2105774",2,
praça,antonio salema c/ arthur thomas,sabara i,"16.979,80","-23,3132256","-51,210565",2,
praça,lourenço da veiga c/ duarte coelho,sabara i,"10.554,68","-23,311538","-51,2153449",2,
area publica,rua agenor garutti,vl. industrial,"2.139,73","-23,3066056","-51,198791",2,
praça,alfred b. nobel c/ blaze pascal,vl. industrial,"4.896,24","-23,3197305","-51,1662008",2,
fundo de vale,rua samuel morse / rudolph diesel / joseph aspdim,vl. industrial,"2.095,56","-23,304226","-51,1941247",2,
